rank,content_hash_id,baseline_score,reason_code,march_impressions,staleness_days
268,content_4fdb52819e8dfb36,82.66364553926964,STALE_HIGH_OPPORTUNITY,851,36.0
269,content_a9e83adc93e21fa6,82.56765444593968,STALE_HIGH_OPPORTUNITY,836,36.0
270,content_beccd739636c4c46,82.55747007476657,STALE_HIGH_OPPORTUNITY,762,62.0
271,content_96f6d6bee646d89f,82.4729305617626,STALE_HIGH_OPPORTUNITY,822,36.0
272,content_10a5f6bdb3fcfc34,82.4729305617626,STALE_HIGH_OPPORTUNITY,822,36.0
273,content_66e700e8e5a3a31f,82.4527608160794,STALE_HIGH_OPPORTUNITY,819,36.0
274,content_892d9925f3f3e8f1,82.40819729420345,STALE_HIGH_OPPORTUNITY,812,36.0
275,content_7dde809bec199bd7,82.33904077840788,STALE_HIGH_OPPORTUNITY,653,81.0
276,content_000e39543d74fd89,82.26512024449042,STALE_HIGH_OPPORTUNITY,644,81.0
277,content_e24acb4e20aab4e2,82.24800093712805,STALE_HIGH_OPPORTUNITY,786,36.0
278,content_acb75f1be3128519,82.22561357542733,STALE_HIGH_OPPORTUNITY,782,36.0
279,content_61aa440a3154937a,82.16964517117555,STALE_HIGH_OPPORTUNITY,773,36.0
280,content_179163c883f149ed,82.0510555146194,STALE_HIGH_OPPORTUNITY,755,36.0
